Applicant Name,Funding Band,Alternative Name,Area,ACE Region,ONS Region,Discipline,Portfolio funded in 2015-18?,Portfolio funding 15/16 - £,Portfolio funding 16/17 - £,Portfolio funding 17/18 - £,TOTAL Portfolio funding 15/18 - £,Portfolio grant 18/19 - £,Portfolio grant 19/20 - £,Portfolio grant 20/21 - £,Portfolio grant 21/22 - £,TOTAL Portfolio grant 18/22 - £,Funding Source (GIA or LOT),% Cash change between 17/18 and 18/19,Notes,Local Authority,Web address,Funding Source Description,Funding Band Description,Bridge Organisation,Technical Uplift,Technical Reduction,Museum Development
Apples and Snakes,2,,London,London,London,Literature,True,455000,455000,455000,1365000,455000,455000,455000,455000,1820000,GIA,0,,Lewisham,http://www.applesandsnakes.org,Grant in Aid,Band 2,False,False,False,False
Arcola Theatre Production Company,2,,London,London,London,Theatre,True,301738,301738,301738,905214,301738,301738,301738,301738,1206952,GIA,0,,Hackney,http://www.arcolatheatre.com,Grant in Aid,Band 2,False,False,False,False
Arena Theatre (University of Wolverhampton),1,University of Wolverhampton (Arena Theatre),Midlands,West Midlands,West Midlands,Combined arts,True,110068,110068,110068,330205,110069,110069,110069,110069,440276,GIA,4.305194967615904e-06,,Wolverhampton,http://arena.wlv.ac.uk,Grant in Aid,Band 1,False,False,False,False
Art Asia Trust Limited,1,,South West,South West,South East,Theatre,True,95827,95827,95827,287481,95827,95827,95827,95827,383308,GIA,0,,Southampton,http://www.artasia.org.uk,Grant in Aid,Band 1,False,False,False,False
Art Gene Limited,1,,North,North West,North West,Visual arts,False,0,0,0,0,110000,110000,110000,110000,440000,GIA,,,Barrow-in-Furness,http://www.artgene.co.uk,Grant in Aid,Band 1,False,False,False,False
Art Monthly,1,Britannia Art Publications Ltd,London,London,London,Visual arts,True,40232,40232,40232,120696,40232,40232,40232,40232,160928,GIA,0,,Westminster,http://www.artmonthly.co.uk,Grant in Aid,Band 1,False,False,False,False
Art Services Grants Ltd,1,,London,London,London,Visual arts,True,221221,221221,221221,663663,221221,221221,221221,221221,884884,GIA,0,,Hackney,http://www.spacestudios.org.uk,Grant in Aid,Band 1,False,False,False,False
Artcore,1,,Midlands,East Midlands,East Midlands,Visual arts,False,0,0,0,0,160000,160000,160000,160000,640000,GIA,,,Derby,http://www.artcoreuk.com/,Grant in Aid,Band 1,False,False,False,False
Artichoke Trust,2,,London,London,London,Combined arts,True,468134,468134,468134,1404402,468134,468134,468134,468134,1872536,GIA,0,,Tower Hamlets,http://artichoke.uk.com,Grant in Aid,Band 2,False,False,False,False
Artlink Hull,1,Artlink Centre for Community Arts,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,65347,65347,65347,196041,65347,65347,65347,65347,261388,GIA,-2.116817145123282e-06,,"Kingston upon Hull, City of",http://www.artlink.uk.net,Grant in Aid,Band 1,False,False,False,False
Artlink West Yorkshire,1,,North,Yorkshire,Yorkshire and The Humber,Combined arts,True,60406,60406,60406,181218,60406,60406,60406,60406,241624,GIA,0,,Leeds,http://www.artlinkwestyorks.org,Grant in Aid,Band 1,False,False,False,False
ArtReach (Trust) Ltd,2,,Midlands,East Midlands,East Midlands,Combined arts,False,0,0,0,0,350000,350000,350000,350000,1400000,GIA,,,Leicester,http://www.artreach.biz,Grant in Aid,Band 2,False,False,False,False
Arts & Health South West,1,Arts and Health South West,South West,South West,South West,Combined arts,True,40000,40000,40000,120000,40000,40000,40000,40000,160000,GIA,0,,Exeter,http://www.ahsw.org.uk,Grant in Aid,Band 1,False,False,False,False
Arts & Health South West,SSO,Arts and Health South West,National,South West,South West,Combined arts,False,0,0,0,0,95000,95000,95000,95000,380000,GIA,,,Exeter,http://www.ahsw.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Arts & Heritage (PHC) Plymouth City Council,3,Plymouth City Council,South West,South West,South West,Museums,False,0,0,0,0,1036500,1036500,1036500,1036500,4146000,GIA,,,Plymouth,http://www.plymhearts.org/pcmag,Grant in Aid,Band 3,False,False,False,False
Arts Alive,1,Arts Alive in Shropshire and Herefordshire ,Midlands,West Midlands,WALES,Combined arts,True,58781,58781,58781,176343,58781,58781,58781,58781,235124,LOT,-1.5165864547863521e-06,,Powys,http://www.artsalive.co.uk,National Lottery,Band 1,False,False,False,False
Arts Catalyst,1,,London,London,London,Visual arts,True,130000,130000,130000,390000,130000,130000,130000,130000,520000,LOT,0,,Camden,http://www.artscatalyst.org,National Lottery,Band 1,False,False,False,False
Arts Connect (University of Wolverhampton),SSO,University of Wolverhampton,Midlands,West Midlands,West Midlands,Not discipline specific,True,1089890,1089890,1089890,3269670,1089890,1089890,1089890,1089890,4359560,LOT,0,Bridge Organisation,Birmingham,http://www.artsconnect.co.uk,National Lottery,Sector Support Organisation,True,False,False,False
Arts Marketing Association,SSO,,National,East,East of England,Not discipline specific,False,0,0,0,0,235643,235643,235643,235643,942572,GIA,,,Cambridge,http://www.a-m-a.co.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
Arts&Heritage,SSO,Arts and Heritage Ltd,National,North East,North East,Museums,False,0,0,0,0,235000,235000,235000,235000,940000,GIA,,,Northumberland,http://www.artsandheritage.org.uk,Grant in Aid,Sector Support Organisation,False,False,False,False
